Sample.ID,latitude_north,longitude_east,site,crop,crop_group
S_0140,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0141,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0142,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0143,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0144,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0145,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0146,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0147,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0148,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0149,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0150,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0151,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0152,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0159,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0160,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0169,35.3511,139.2814,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish,Vegetables
S_0170,35.3511,139.2814,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish,Vegetables
S_0177,35.3511,139.2814,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish,Vegetables
S_0178,35.3511,139.2814,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish,Vegetables
S_0180,35.3511,139.2814,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish,Vegetables
S_0181,35.3511,139.2814,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish,Vegetables
S_0182,35.3511,139.2814,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish,Vegetables
S_0183,35.3511,139.2814,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish,Vegetables
S_0184,35.3511,139.2814,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish,Vegetables
S_0185,35.3511,139.2814,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish,Vegetables
S_0186,35.3511,139.2814,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish,Vegetables
S_0187,35.3511,139.2814,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish,Vegetables
S_0188,35.3511,139.2814,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish,Vegetables
S_0189,35.3511,139.2814,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish,Vegetables
S_0190,35.3511,139.2814,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish,Vegetables
S_0191,35.3511,139.2814,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish,Vegetables
S_0192,35.3511,139.2814,"Kanagawa_pref._agriculture_center,_before_transplanting",Radish,Vegetables
S_0193,35.1789,139.6308,Kaganawa_pref._agricultural_center_in_Miura_,Radish,Vegetables
S_0194,35.1789,139.6308,Kaganawa_pref._agricultural_center_in_Miura_,Radish,Vegetables
S_0195,35.1789,139.6308,Kaganawa_pref._agricultural_center_in_Miura_,Radish,Vegetables
S_0196,35.1789,139.6308,Kaganawa_pref._agricultural_center_in_Miura_,Radish,Vegetables
S_0197,35.1789,139.6308,Kaganawa_pref._agricultural_center_in_Miura_,Radish,Vegetables
S_0198,35.1789,139.6308,Kaganawa_pref._agricultural_center_in_Miura_,Radish,Vegetables
S_0199,35.1789,139.6308,Kaganawa_pref._agricultural_center_in_Miura_,Radish,Vegetables
S_0200,35.1789,139.6308,Kaganawa_pref._agricultural_center_in_Miura_,Radish,Vegetables
S_0201,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0202,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0203,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0204,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0205,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0206,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0207,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0208,37.7108,140.3903,Fukushima,Radish,Vegetables
S_0209,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0210,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0211,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0212,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0213,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0214,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0215,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0216,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0217,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0218,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0219,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0220,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0221,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0222,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0223,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0224,37.7103,140.3914,Fukushima,Spinach,Vegetables
S_0225,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0226,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0227,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0228,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0229,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0230,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0231,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0232,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0233,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0234,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0235,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0236,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0237,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0238,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0239,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0240,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0241,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0242,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0243,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0244,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
S_0245,35.3,135.25,"aono,_ayabe,_KYOTO",Spinach,Vegetables
